AS,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,ranking
2.0,Mitchell_Robinson,5700,20200201,nyk,ind,0,19.0,92.0,85.0,1,0.0,19.35,1.0,1.0,15.4,0.0,0.0,5400.0,5.0,63.6,2.37,4,7,2,0,0,0,0,2,2,0,0,belowAvg
1.0,Luke_Kornet,5240,20200202,chi,tor,0,15.0,102.0,129.0,0,1.0,23.01666667,1.0,1.0,17.5,0.0,0.0,4600.0,4.0,63.1,2.65,8,5,1,1,0,1,1,3,11,1,2,belowAvg
-0.0,Jordan_Bell,5125,20200201,min,lac,0,15.5,106.0,118.0,0,0.0,4.45,1.0,1.0,3.2,0.0,0.0,3500.0,4.0,66.94,-3.38,2,1,0,0,0,0,0,1,2,0,0,benchPlayer
6.0,Khris_Middleton,4490,20200202,mil,pho,1,14.0,129.0,108.0,1,1.0,32.9,1.0,1.0,44.6,0.0,0.0,7200.0,2.0,62.28,1.4,25,8,6,0,1,2,3,9,15,4,4,top
-0.0,Mike_Muscala,4659,20200129,okc,sac,0,22.0,120.0,100.0,1,0.0,1.516666667,1.0,1.0,0.0,0.0,0.0,3600.0,4.0,66.71,-3.69,0,0,0,0,0,0,0,0,0,0,0,benchPlayer
6.0,Kyle_Lowry,3891,20200202,tor,chi,1,15.0,129.0,102.0,1,1.0,29.51666667,1.0,1.0,28.8,0.0,0.0,7000.0,1.0,63.1,1.34,14,4,6,0,1,2,3,3,7,5,6,average
-0.0,Oshae_Brissett,5900,20200202,tor,chi,1,15.0,129.0,102.0,1,0.0,3.2,1.0,1.0,5.2,0.0,0.0,3500.0,3.0,63.1,1.34,2,1,0,1,0,1,0,1,1,0,0,benchPlayer
-0.0,Johnathan_Motley,5192,20200126,lac,orl,0,18.0,112.0,97.0,1,0.0,1.516666667,1.0,1.0,3.2,0.0,0.0,3500.0,4.0,66.52,-0.83,2,1,0,0,0,0,0,1,1,0,0,benchPlayer
2.0,Malik_Monk,5133,20200201,cha,sas,0,21.0,90.0,114.0,0,0.0,31.93333333,1.0,1.0,22.8,0.0,0.0,4000.0,2.0,64.93,0.64,11,4,2,0,2,2,1,4,12,2,2,average
2.0,C.J._Miles,3783,20191126,was,den,0,21.0,104.0,117.0,0,0.0,21.28333333,1.0,1.0,15.2,0.0,0.0,3500.0,3.0,45.02,21.09,5,1,2,2,0,0,0,1,7,3,5,belowAvg
3.0,Marquese_Chriss,4952,20200201,gsw,cle,0,20.0,131.0,112.0,1,1.0,24.91666667,1.0,1.0,36.9,0.0,0.0,4900.0,5.0,63.19,4.07,10,7,3,1,4,1,0,5,11,0,0,advanced
