ID,Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
4379,Kyrie_Irving,20200129,bkn,det,1,19.5,125.0,115.0,1,1.0,32.83333333,1.0,1.0,35.5,0.0,0.0,9300.0,1.0,67.07,-0.86,20,5,5,2,0,4,2,7,16,4,4
4379,Kyrie_Irving,20200125,bkn,det,0,19.0,121.0,111.0,1,1.0,40.03333333,1.0,1.0,61.7,0.0,0.0,8700.0,1.0,63.24,4.4,45,6,7,0,0,1,5,0,0,0,0
4379,Kyrie_Irving,20200123,bkn,lal,1,20.0,113.0,128.0,0,1.0,33.21666667,1.0,1.0,34.6,0.0,0.0,8700.0,1.0,68.17,-0.53,20,3,4,2,1,4,3,7,17,3,4
4379,Kyrie_Irving,20200118,bkn,mil,1,18.0,97.0,117.0,0,1.0,30.65,1.0,1.0,43.2,0.0,0.0,8500.0,1.0,66.62,0.22,17,6,6,4,0,2,2,6,15,3,3
4379,Kyrie_Irving,20200115,bkn,phi,0,19.0,106.0,117.0,0,1.0,36.8,1.0,1.0,34.2,0.0,0.0,7900.0,1.0,66.89,0.59,14,6,4,2,1,2,1,6,21,1,2
4379,Kyrie_Irving,20200114,bkn,uta,1,19.5,107.0,118.0,0,1.0,32.21666667,1.0,1.0,62.5,1.0,0.0,8000.0,1.0,67.21,0.27,32,5,11,2,1,1,3,0,0,5,6
4379,Kyrie_Irving,20200112,bkn,atl,1,18.0,108.0,86.0,1,1.0,19.76666667,1.0,1.0,31.3,0.0,0.0,7700.0,1.0,67.76,-0.04,21,4,3,1,0,2,1,0,0,0,0
4379,Kyrie_Irving,20191114,bkn,den,0,22.5,93.0,101.0,0,1.0,34.71666667,1.0,1.0,40.7,0.0,0.0,9800.0,1.0,45.7,11.98,17,6,9,1,0,0,1,8,20,0,0
4379,Kyrie_Irving,20191112,bkn,uta,0,21.0,114.0,119.0,0,1.0,36.68333333,1.0,1.0,40.1,0.0,0.0,9900.0,1.0,47.67,17.38,27,3,5,1,1,4,2,0,0,5,5
4379,Kyrie_Irving,20191110,bkn,pho,0,20.0,112.0,138.0,0,1.0,25.11666667,1.0,1.0,26.3,0.0,0.0,9800.0,1.0,61.55,5.62,15,4,5,0,0,1,1,7,16,0,0
4379,Kyrie_Irving,20191108,bkn,por,0,22.0,119.0,115.0,1,1.0,38.51666667,1.0,1.0,50.6,0.0,0.0,9800.0,1.0,67.48,-0.92,33,3,6,1,1,1,4,0,0,5,5
4379,Kyrie_Irving,20191104,bkn,nor,1,19.5,135.0,125.0,1,1.0,34.55,1.0,1.0,61.3,0.0,0.0,9700.0,1.0,67.85,-1.29,39,4,9,3,0,5,2,0,0,0,0
4379,Kyrie_Irving,20191102,bkn,det,0,19.0,109.0,113.0,0,1.0,33.18333333,1.0,1.0,46.2,1.0,1.0,10100.0,1.0,64.24,2.91,20,11,10,0,0,2,0,8,21,4,4
4379,Kyrie_Irving,20191101,bkn,hou,1,19.0,123.0,116.0,1,1.0,34.48333333,1.0,1.0,38.8,1.0,0.0,10300.0,1.0,67.44,-0.29,22,4,10,0,1,6,5,7,18,3,4
4379,Kyrie_Irving,20191030,bkn,ind,1,19.5,108.0,118.0,0,1.0,30.96666667,1.0,1.0,50.4,0.0,0.0,10200.0,1.0,67.57,-0.87,28,7,6,1,1,1,2,0,0,4,5
4379,Kyrie_Irving,20191027,bkn,mem,0,18.0,133.0,134.0,0,1.0,34.33333333,1.0,1.0,62.9,0.0,0.0,10300.0,1.0,65.06,2.09,37,7,7,2,1,2,5,0,0,0,0
4379,Kyrie_Irving,20191025,bkn,nyk,1,19.5,113.0,109.0,1,1.0,31.21666667,1.0,1.0,40.9,0.0,0.0,9700.0,1.0,67.53,-0.38,26,2,5,3,0,4,2,8,19,8,8
4379,Kyrie_Irving,20191023,bkn,min,1,19.5,126.0,127.0,0,1.0,38.16666667,1.0,1.0,73.1,0.0,0.0,9000.0,1.0,66.98,-0.22,50,8,7,0,1,0,7,0,0,9,10
4869,Thanasis_Antetokounmpo,20200131,mil,den,1,21.0,115.0,127.0,0,1.0,5.233333333,1.0,1.0,7.0,0.0,0.0,3500.0,3.0,64.88,-0.25,4,0,0,1,0,0,0,2,3,0,1
4869,Thanasis_Antetokounmpo,20200124,mil,cha,0,15.0,116.0,103.0,1,0.0,0.5166666670000001,1.0,1.0,0.0,0.0,0.0,3500.0,3.0,63.69,2.68,0,0,0,0,0,0,0,0,0,0,0
4869,Thanasis_Antetokounmpo,20200111,mil,por,0,22.0,122.0,101.0,1,0.0,5.25,1.0,1.0,0.2,0.0,0.0,3500.0,3.0,66.94,-0.46,0,1,0,0,0,1,0,0,2,0,0
