Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Shake Milton,phi,Lose,1,29.08333333,24.8,0,0,4300,1,65.43,-0.31,11,4,0,3,0,0,1,8-Mar,3,0.375,4-Apr,4,1,AboveAVG
Shamorie Ponds,tor,Win,0,1.95,5,0,0,3500,1,63.69,1.36,5,0,0,0,0,0,1,1-Jan,1,1,2-Feb,2,1,belowAVG
Shaquille Harrison,chi,Lose,0,4.433333333,10.9,0,0,3500,1,63.1,2.65,2,2,1,2,0,1,0,0-2,0,0,2-Feb,2,1,Average
Skal Labissiere,por,Lose,1,2.616666667,1.2,0,0,4000,4,67.3,-5.91,0,1,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Solomon Hill,mem,Lose,1,25.7,10.1,0,0,3500,3,67.16,-1.3,6,3,1,0,0,1,1,5-Feb,2,0.4,2-Jan,1,0.5,Average
Spencer Dinwiddie,bkn,Lose,0,30.61666667,37.8,0,0,7100,2,65.7,1.46,26,4,6,1,0,5,4,23-Sep,9,0.391304348,7-Apr,4,0.571428571,Advanced
Stanley Johnson,tor,Win,0,4.433333333,6.9,0,0,3500,3,63.1,1.34,0,2,1,0,1,0,0,0,0,0,0,0,0,belowAVG
Stanton Kidd,uta,Win,0,1.85,1.2,0,0,3500,4,66.89,-17.33,0,1,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Stephen Curry,gsw,Lose,1,21.15,29,0,0,9600,1,67.62,-0.87,9,5,6,1,2,4,1,11-Mar,3,0.272727273,2-Feb,2,1,AboveAVG
Sterling Brown,mil,Win,0,10.3,6.4,0,0,3500,2,62.28,1.4,4,2,0,0,0,0,0,3-Feb,2,0,0,0,0,belowAVG
Steven Adams,okc,Win,1,22.85,22,0,0,5300,5,63.28,1.15,8,5,2,2,1,4,0,6-Apr,4,0,0,0,0,AboveAVG
Sviatoslav Mykhailiuk,det,Win,1,35.28333333,25.2,0,0,3700,2,61.82,1.91,13,1,4,2,0,1,1,9-Mar,3,0.333333333,8-Jun,6,0.75,AboveAVG
T.J. McConnell,ind,Lose,0,14.75,12.6,0,0,4200,1,63.6,0.76,4,3,4,0,0,1,0,2-Jan,1,0.5,2-Feb,2,1,Average
T.J. Warren,ind,Lose,1,23.26666667,12.2,0,0,5900,3,63.6,0.76,5,1,0,2,0,0,0,5-Feb,2,0.4,2-Jan,1,0.5,Average
Tacko Fall,bos,Win,0,2.533333333,2,0,0,3500,5,65.43,1.22,2,0,0,0,0,0,0,1-Jan,1,0,0,0,0,belowAVG
Taj Gibson,nyk,Win,1,15.56666667,19.9,0,0,3500,4,63.6,2.37,10,7,1,0,0,0,0,6-May,5,0,0,0,0,Average
Talen Horton-Tucker,lal,Lose,0,2.85,4.5,0,0,3500,2,65.43,0.12,0,0,1,1,0,0,0,0,0,0,0,0,0,belowAVG
Tariq Owens,pho,Lose,0,7.05,4.4,0,0,3500,5,62.28,0.98,2,2,0,0,0,0,0,4-Jan,1,0,0,0,0,belowAVG
Taurean Prince,bkn,Lose,1,27.43333333,15,0,0,5400,3,65.7,1.46,2,5,2,1,1,2,0,9-Jan,1,0,0,0,0,Average
Terance Mann,lac,Win,0,2.2,1.2,0,0,3500,2,66.94,-0.42,0,1,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Terence Davis,tor,Win,0,28.38333333,35.3,0,0,3900,2,63.1,1.34,31,4,1,0,0,2,6,0,0,0,2-Jan,1,0.5,Advanced
Terrance Ferguson,okc,Lose,1,7.3,0,0,0,3500,2,62.87,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Terrence Ross,orl,Lose,0,30.76666667,12.6,0,0,4500,2,66.25,0,6,3,2,0,0,0,1,11-Feb,2,0.181818182,1-Jan,1,1,Average
Terry Rozier,cha,Lose,1,34.96666667,17.5,0,0,6900,1,64.93,0.64,10,5,3,0,0,3,2,12-Mar,3,0.25,2-Feb,2,1,Average
Thabo Sefolosha,hou,Win,0,18.03333333,21.1,0,0,3500,3,66.62,0.19,4,3,1,3,1,0,1,2-Jan,1,0.5,2-Jan,1,0.5,AboveAVG
Thaddeus Young,chi,Lose,1,29.8,32.9,0,0,5200,4,63.1,2.65,21,7,1,2,0,4,3,12-Sep,9,0.75,0-1,0,0,Advanced
Thanasis Antetokounmpo,mil,Lose,1,5.233333333,7,0,0,3500,3,64.88,-0.25,4,0,0,1,0,0,0,3-Feb,2,0.666666667,0-1,0,0,belowAVG
Theo Pinson,bkn,Lose,0,2.6,1.2,0,0,3500,2,65.52,0.4,0,1,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Thomas Bryant,was,Win,0,25.35,32,1,0,5000,5,65.7,0.86,17,10,0,0,1,0,1,11-Jul,7,0.636363636,5-Feb,2,0.4,Advanced
Thon Maker,det,Win,0,6.316666667,4.5,0,0,3800,5,61.82,1.91,4,0,1,0,0,1,0,2-Feb,2,0,0,0,0,belowAVG
