Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Bradley Beal,SG,22.0,WAS,55.0,35.0,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,SG,22.0,55.0,1708,15.5,0.547,.339,.220,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,,1.4,1.3,2.7,.076,,1.0,-1.6,-0.6,0.6
Michael Beasley,PF,27.0,HOU,20.0,0.0,18.2,5.4,10.3,0.522,0.2,0.5,0.33299999999999996,5.2,9.8,.531,0.529,1.9,2.5,0.7759999999999999,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8,PF,27.0,20.0,363,22.5,0.563,.044,.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,,0.6,0.3,1.0,.128,,-0.8,-2.5,-3.4,-0.1
Marco Belinelli,SG,29.0,SAC,68.0,7.0,24.6,3.6,9.3,0.386,1.3,4.4,0.306,2.3,5.0,.456,0.457,1.7,2.0,0.833,0.1,1.6,1.7,1.9,0.5,0.0,1.2,1.3,10.2,SG,29.0,68.0,1672,9.4,0.5,.468,.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,,0.2,0.3,0.5,.014,,-1.3,-2.9,-4.2,-0.9
Anthony Bennett,PF,22.0,TOR,19.0,0.0,4.4,0.4,1.4,0.29600000000000004,0.2,0.7,0.214,0.3,0.7,.385,0.35200000000000004,0.5,0.5,0.9,0.3,0.9,1.2,0.0,0.3,0.0,0.2,0.4,1.5,PF,22.0,19.0,84,10.4,0.446,.519,.370,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,,0.0,0.1,0.1,.054,,-4.8,-4.6,-9.4,-0.2
Patrick Beverley,PG,27.0,HOU,71.0,63.0,28.7,3.6,8.4,0.434,1.7,4.4,0.4,1.9,4.0,.472,0.539,0.8,1.2,0.682,1.0,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9,PG,27.0,71.0,2041,13.0,0.5529999999999999,.522,.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,,3.1,1.3,4.4,.102,,1.4,-0.3,1.1,1.6
Bismack Biyombo,C,23.0,TOR,82.0,22.0,22.0,1.9,3.5,0.542,0.0,0.0,0.0,1.9,3.5,.544,0.542,1.7,2.8,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5,C,23.0,82.0,1808,14.9,0.586,.003,.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,,2.8,3.1,5.9,.156,,-2.4,2.3,-0.1,0.9
Nemanja Bjelica,PF,27.0,MIN,60.0,0.0,17.9,1.8,3.9,0.46799999999999997,0.8,2.1,0.384,1.0,1.8,.564,0.57,0.7,0.9,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1,PF,27.0,60.0,1075,11.2,0.594,.532,.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,,1.4,0.6,1.9,.087,,0.5,-0.2,0.3,0.6
Tarik Black,C,24.0,LAL,39.0,0.0,12.7,1.5,2.7,0.5479999999999999,0.0,0.0,0.0,1.5,2.7,.548,0.5479999999999999,0.5,1.2,0.42200000000000004,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4,C,24.0,39.0,496,12.3,0.537,.000,.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,,0.3,0.4,0.7,.072,,-4.0,0.6,-3.4,-0.2
DeJuan Blair,C,26.0,WAS,29.0,0.0,7.5,1.0,2.3,0.41200000000000003,0.0,0.0,0.0,1.0,2.3,.418,0.41200000000000003,0.2,0.4,0.385,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1,C,26.0,29.0,218,5.4,0.414,.015,.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,,-0.3,0.3,-0.1,-0.015,,-6.3,-0.1,-6.4,-0.2
Steve Blake,PG,35.0,DET,58.0,2.0,17.0,1.6,4.1,0.38799999999999996,0.9,2.6,0.344,0.7,1.5,.461,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4,PG,35.0,58.0,986,9.8,0.51,.629,.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,,0.3,0.8,1.1,.053,,-1.8,-1.8,-3.5,-0.4
