Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Jones Derrick,Jones,Derrick,Derrick Jones,4941,20200209,1,14.6,"5,200",SF,mia,A,por,109,115,25.22,11pt 3rb 2trey 4-8fg 1-1ft
Osman Cedi,Osman,Cedi,Cedi Osman,5116,20200209,1,14.3,"4,100",SF,cle,H,lac,92,133,24.98,7pt 4rb 1as 1st 2to 3-8fg 1-2ft
Clarke Brandon,Clarke,Brandon,Brandon Clarke,5837,20200209,,14.2,"4,800",PF,mem,A,was,106,99,20.88,9pt 6rb 2to 1trey 4-10fg 0-2ft
Noel Nerlens,Noel,Nerlens,Nerlens Noel,4652,20200209,,14,"4,600",PF,okc,H,bos,111,112,17.97,5pt 5rb 1bl 2-4fg 1-3ft
O'Neale Royce,O'Neale,Royce,Royce O'Neale,5182,20200209,,13.6,"3,600",PF,uta,A,hou,114,113,19.13,3pt 3rb 3bl 2to 1trey 1-4fg
McKinnie Alfonzo,McKinnie,Alfonzo,Alfonzo McKinnie,5230,20200209,,12.2,"3,500",SF,cle,H,lac,92,133,21.27,9pt 1rb 1st 1to 4-9fg 1-2ft
Sefolosha Thabo,Sefolosha,Thabo,Thabo Sefolosha,3931,20200209,,11.6,"3,600",SF,hou,H,uta,113,114,10.27,2pt 3rb 1st 1bl 1-3fg
Robinson III Glenn,Robinson,III Glenn,III Glenn Robinson,4702,20200209,,11.2,"4,000",SF,phi,H,chi,118,111,12.18,10pt 1rb 5-6fg
Kabengele Mfiondu,Kabengele,Mfiondu,Mfiondu Kabengele,5803,20200209,,11.2,"3,500",SF,lac,A,cle,133,92,9.7,8pt 1rb 1st 1to 2trey 2-6fg 2-2ft
Bonga Isaac,Bonga,Isaac,Isaac Bonga,5693,20200209,1,10.9,"3,600",SF,was,H,mem,99,106,17.13,4pt 2rb 1as 1st 0-3fg 4-4ft
Silva Chris,Silva,Chris,Chris Silva,5913,20200209,,10.8,"3,500",PF,mia,A,por,109,115,12.67,4pt 4rb 2as 1to 2-6fg
Gibson Taj,Gibson,Taj,Taj Gibson,4167,20200209,1,9.3,"3,600",PF,nyk,A,atl,135,140,15.87,4pt 4rb 1as 1to 2-3fg
Thybulle Matisse,Thybulle,Matisse,Matisse Thybulle,5906,20200209,,8.7,"3,600",SF,phi,H,chi,118,111,18.13,6pt 1rb 1as 1trey 2-5fg 1-1ft
Jackson Josh,Jackson,Josh,Josh Jackson,5130,20200209,,8.5,"3,800",SF,mem,A,was,106,99,13.92,3pt 5rb 1as 2to 1-4fg 1-3ft
Scott Mike,Scott,Mike,Mike Scott,4488,20200209,,8.3,"3,500",PF,phi,H,chi,118,111,17.72,2pt 4rb 1as 1-4fg
Niang Georges,Niang,Georges,Georges Niang,5015,20200209,,8.2,"3,500",PF,uta,A,hou,114,113,8.8,8pt 1rb 1to 2trey 3-5fg
Motley Johnathan,Motley,Johnathan,Johnathan Motley,5192,20200209,,7.4,"3,500",PF,lac,A,cle,133,92,10.67,6pt 2rb 1to 3-4fg
Morgan Juwan,Morgan,Juwan,Juwan Morgan,5835,20200209,,6.6,"3,500",PF,uta,A,hou,114,113,7.18,4pt 3rb 1to 2-3fg
Fernando Bruno,Fernando,Bruno,Bruno Fernando,5881,20200209,,5.8,"3,500",PF,atl,H,nyk,140,135,8.77,2pt 4rb 1to 1-3fg
Williams Grant,Williams,Grant,Grant Williams,5846,20200209,,5.4,"4,100",PF,bos,A,okc,112,111,14.2,3pt 2rb 1trey 1-1fg
Knox Kevin,Knox,Kevin,Kevin Knox,5705,20200209,,5.2,"3,500",SF,nyk,A,atl,135,140,12.92,3pt 1rb 1bl 2to 1trey 1-5fg
Nance Larry,Nance,Larry,Larry Nance,4798,20200209,,4.8,"5,800",PF,cle,H,lac,92,133,20.3,2pt 4rb 2to 1-6fg
Carter Vince,Carter,Vince,Vince Carter,2448,20200209,,3.2,"3,700",SF,atl,H,nyk,140,135,2.53,2pt 1rb 1-2fg
Nader Abdel,Nader,Abdel,Abdel Nader,5127,20200209,,3.2,"3,500",SF,okc,H,bos,111,112,4.63,2pt 1rb 0-1fg 2-2ft
Bazley Darius,Bazley,Darius,Darius Bazley,5915,20200209,,3,"3,500",SF,okc,H,bos,111,112,3.22,3pt 1-2fg 1-2ft
Swanigan Caleb,Swanigan,Caleb,Caleb Swanigan,5178,20200209,,2.9,"4,000",PF,por,H,mia,115,109,10.47,0pt 2rb 1as 1to
Hezonja Mario,Hezonja,Mario,Mario Hezonja,4776,20200209,,1.5,"3,500",SF,por,H,mia,115,109,5.07,0pt 1as 0-2fg
Gabriel Wenyen,Gabriel,Wenyen,Wenyen Gabriel,5715,20200209,,1.4,"3,500",PF,por,H,mia,115,109,7.35,0pt 2rb 1to 0-2fg
Wade Dean,Wade,Dean,Dean Wade,5857,20200209,,1.2,"3,700",PF,cle,H,lac,92,133,3.68,0pt 1rb
Pelle Norvel,Pelle,Norvel,Norvel Pelle,5904,20200209,,0,"3,500",PF,phi,H,chi,118,111,DNP,
Howard William,Howard,William,William Howard,5831,20200209,,0,"3,500",SF,hou,H,uta,113,114,DNP,
Bell Jordan,Bell,Jordan,Jordan Bell,5125,20200209,,0,"3,500",PF,mem,A,was,106,99,DNP,
Muscala Mike,Muscala,Mike,Mike Muscala,4659,20200209,,0,"3,500",PF,okc,H,bos,111,112,DNP,
Schofield Admiral,Schofield,Admiral,Admiral Schofield,5870,20200209,,0,"3,700",SF,was,H,mem,99,106,DNP,
Hill Solomon,Hill,Solomon,Solomon Hill,4566,20200209,,0,"3,500",SF,mia,A,por,109,115,DNP,
Patterson Patrick,Patterson,Patrick,Patrick Patterson,4302,20200209,,0,"3,500",PF,lac,A,cle,133,92,DNP,
Ojeleye Semi,Ojeleye,Semi,Semi Ojeleye,5115,20200209,,0,"3,500",SF,bos,A,okc,112,111,DNP,
Gafford Daniel,Gafford,Daniel,Daniel Gafford,5894,20200209,,0,"3,700",PF,chi,A,phi,111,118,DNP,
Haslem Udonis,Haslem,Udonis,Udonis Haslem,3535,20200209,,0,"3,500",PF,mia,A,por,109,115,DNP,
Little Nassir,Little,Nassir,Nassir Little,5937,20200209,,0,"3,500",SF,por,H,mia,115,109,DNP,
Okpala KZ,Okpala,KZ,KZ Okpala,5910,20200209,,0,"3,500",SF,mia,A,por,109,115,DNP,
Hartenstein Isaiah,Hartenstein,Isaiah,Isaiah Hartenstein,5746,20200209,,0,"3,600",PF,hou,H,uta,113,114,DNP,
