Name,GID,Team,Opp,Home,NewGameFDP,LastFDP,AvgFDP,AvgPTS,LastPT,AvgMIN,LastMIN,AvgFGM,LastFGM,AvgFGA,LastFGA,Avg3PTS,Last3PTS,AvgREB,LastREB,AvgAST,LastAST,AvgSTL,AvgTOV,LastTOV,Date,Last3GameAvgFDP,Last3GameAvgMIN,Last3GameAvgPTS,position,Rank,TeamStdFDP,TeamAvgFDP,TeamMaxFDP
Brandon Ingram,4965,nor,dal,1,45.1,42.5,42.5,22.0,22,35.1,35.1,8.0,8,19.0,19,2.0,2,5.0,5,5.0,5,1.0,2.0,2,2019-10-24,42.5,35.1,22.0,SF,top,8.951739292653487,21.918181818181814,42.5
Jerami Grant,4765,den,pho,1,17.0,11.9,11.9,9.0,9,20.81666667,20.81666667,3.0,3,4.0,4,2.0,2,2.0,2,1.0,1,0.0,1.0,1,2019-10-24,11.9,20.81666667,9.0,PF,belowAvg,10.255662392605906,23.81111111111111,36.0
Otto Porter,4653,chi,mem,0,9.6,21.9,21.9,9.0,9,27.71666667,27.71666667,3.0,3,10.0,10,1.0,1,2.0,2,1.0,1,2.0,0.0,0,2019-10-24,21.9,27.71666667,9.0,SF,average,13.88583553738948,30.375,60.4
Rodney Hood,4744,por,sac,0,20.3,18.5,18.5,13.0,13,31.16666667,31.16666667,5.0,5,10.0,10,2.0,2,5.0,5,1.0,1,0.0,2.0,2,2019-10-24,18.5,31.16666667,13.0,SF,belowAvg,13.354007780794639,25.75714285714286,48.8
Hassan Whiteside,4324,por,sac,0,41.3,40.8,40.8,16.0,16,26.05,26.05,6.0,6,7.0,7,0.0,0,19.0,19,0.0,0,0.0,4.0,4,2019-10-24,40.8,26.05,16.0,C,top,13.354007780794639,25.75714285714286,48.8
Torrey Craig,5204,den,pho,1,17.0,25.2,25.2,10.0,10,16.03333333,16.03333333,4.0,4,6.0,6,2.0,2,6.0,6,2.0,2,1.0,1.0,1,2019-10-24,25.2,16.03333333,10.0,SG,average,10.255662392605906,23.81111111111111,36.0
Pascal Siakam,4929,tor,bos,0,40.6,62.1,62.1,34.0,34,38.15,38.15,0.0,0,0.0,0,2.0,2,18.0,18,5.0,5,0.0,4.0,4,2019-10-24,62.1,38.15,34.0,SF,top,18.81761617664226,30.8625,62.1
RJ Barrett,5878,nyk,bkn,0,37.1,33.0,33.0,21.0,21,37.11666667,37.11666667,9.0,9,13.0,13,1.0,1,5.0,5,2.0,2,2.0,3.0,3,2019-10-24,33.0,37.11666667,21.0,SG,advanced,12.568956466893608,35.966666666666654,55.2
Jevon Carter,5726,pho,den,0,8.9,18.7,18.7,11.0,11,18.31666667,18.31666667,4.0,4,7.0,7,3.0,3,1.0,1,3.0,3,0.0,1.0,1,2019-10-24,18.7,18.31666667,11.0,PG,belowAvg,12.453312812260034,29.266666666666666,46.2
Devonte' Graham,5658,cha,min,1,29.4,38.8,38.8,23.0,23,27.31666667,27.31666667,7.0,7,9.0,9,6.0,6,4.0,4,8.0,8,0.0,1.0,1,2019-10-24,38.8,27.31666667,23.0,PG,advanced,10.13575707229467,26.675,38.8
